127.0.0.1 - - [22/Oct/2016:15:56:43 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:47 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:47 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 200 35087
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:47 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 200 29182
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:48 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:48 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:49 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:51 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/login.xhtml HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:56:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:00 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 9337
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/css/sb-admin.css HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 200 75590
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/17 HTTP/1.1" 200 150753
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/30 HTTP/1.1" 200 111613
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/34 HTTP/1.1" 200 233205
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/51 HTTP/1.1" 200 272588
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/71 HTTP/1.1" 200 118287
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/fontawesome-webfont.woff2?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:09 -0300] "POST /jyaa_2016_grupo06_final/faces/LoginUsr/usuario.xhtml HTTP/1.1" 200 34502
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/css/sb-admin.css HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/2 HTTP/1.1" 200 183313
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/17 HTTP/1.1" 200 272588
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/23 HTTP/1.1" 200 118287
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/11 HTTP/1.1" 200 133456
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/15 HTTP/1.1" 200 213451
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:10 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/7 HTTP/1.1" 200 183967
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:11 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_misRutas.xhtml HTTP/1.1" 200 16777
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/rest/rutas/2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/10 HTTP/1.1" 200 76806
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/11 HTTP/1.1" 200 133456
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/12 HTTP/1.1" 200 251306
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/14 HTTP/1.1" 200 43261
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:13 -0300] "GET /jyaa_2016_grupo06_final/DownloadSmallImage/13 HTTP/1.1" 200 306571
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:15 -0300] "GET /jyaa_2016_grupo06_final/faces/CerrarSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:15 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:15 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:15 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:18 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/login.xhtml HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:18 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:18 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 9336
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:21 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/6 HTTP/1.1" 200 118190
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:22 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/32 HTTP/1.1" 200 251306
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:22 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/45 HTTP/1.1" 200 213451
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:22 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/52 HTTP/1.1" 200 205410
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:22 -0300] "GET /jyaa_2016_grupo06_final/DownloadImageId/66 HTTP/1.1" 200 133696
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:28 -0300] "GET /jyaa_2016_grupo06_final/faces/CerrarSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:28 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:15:57:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:22 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:22 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:22 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:22 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:22 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:30 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/login.xhtml HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:30 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:30 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 9337
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/fa/font-awesome.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:16:04:34 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
