0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:14 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:14 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:14 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:14 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/raphael.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris-data.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:49 -0300] "GET /jyaa_2016_grupo06_final/faces/js/bootstrap.min.js HTTP/1.1" 404 1090
